player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,s_20260323_fame,s_20260323_decks_used,s_20260316_fame,s_20260316_decks_used,s_20260309_fame,s_20260309_decks_used,s_20260302_fame,s_20260302_decks_used,s_20260223_fame,s_20260223_decks_used,s_20260216_fame,s_20260216_decks_used,s_20260209_fame,s_20260209_decks_used,s_20260202_fame,s_20260202_decks_used,s_20260126_fame,s_20260126_decks_used,s_20260119_fame,s_20260119_decks_used
#8P89UPQ0,mojede,True,member,0,80,10218,2,10,2,0,0,0,0,200,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0
#P988CJQ0G,Smarkus,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,False,unknown,0,0,0,7,10,45,0,0,1200,8,1300,8,1400,7,1100,8,1300,7,450,3,0,0,500,4,0,0
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,9,10,137,0,0,1550,9,2500,16,2400,16,2900,16,2700,16,2500,16,2450,16,3250,16,2350,16
#CPY9CULYY,player5676,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#P2GUCG2Y,king rado,True,elder,0,0,11500,9,10,100,0,0,2200,13,2000,12,500,4,2700,16,2250,16,2400,13,1000,6,1800,10,1400,10
#8YJQP09GY,HeavyBobM.amb0,False,unknown,0,0,0,1,10,4,0,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#80LL922V8,Aaron⚡⚡,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YPU0YPCJ8,Amin,False,unknown,0,0,0,5,10,34,0,0,1150,12,800,8,200,2,350,4,700,8,0,0,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,10,8,0,0,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0
#Y882QLJQJ,NL-eSports,True,member,0,30,10436,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#URJ0LUYPV,elazeto,True,member,242,40,7593,2,10,12,1300,8,0,0,0,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,member,253,0,11874,8,10,32,500,4,100,1,100,1,1200,10,1100,7,0,0,300,3,0,0,300,2,600,4
#YQVQYUYRV,Fxry,True,elder,140,160,11122,6,10,75,500,4,1250,7,2900,16,3200,16,2800,16,3000,16,0,0,0,0,0,0,0,0
#J9RQPGLVP,Ted,True,member,78,80,8513,1,10,4,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2L8LLRUYV,MF Tarje,True,elder,122,160,12117,8,10,70,550,4,1400,7,1050,6,700,4,2750,14,1500,11,1750,12,1950,12,0,0,0,0
#R0LGYVLP,Milchreis,True,elder,0,0,11244,10,10,128,550,4,2850,16,800,4,2750,16,2150,12,2750,16,1900,12,2850,16,2750,16,2550,16
#29L2P9YJ,Christian97_,True,member,158,80,10092,2,10,8,600,4,350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,39,80,10095,1,10,4,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#LLQQJCLC,bes,True,member,54,40,11324,1,10,8,900,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,member,46,80,11218,8,10,59,900,6,500,4,200,2,1000,8,600,4,2100,14,1400,9,1450,12,0,0,0,0
#9CG2CRRJG,Annefred,True,elder,16,120,11716,10,10,132,1500,12,2200,13,2500,16,1300,8,1400,12,2100,12,2400,14,2400,16,2100,13,2500,16
#8QYYL8LCQ,SirHenry87,True,elder,386,320,10530,10,10,105,1100,8,1500,11,1000,8,1200,11,1200,8,700,7,1900,16,2100,15,1300,13,900,8
#V9GYJQ0J9,Boi,True,member,117,384,8225,3,10,42,1300,12,1700,16,1500,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#G02LC9C8,lukasl 5,True,elder,18,160,12030,10,10,120,1350,10,1800,12,2150,16,1700,12,1750,16,2200,12,1100,7,2050,11,2050,12,2000,12
#QULCQGGG,Citykingalex,True,elder,497,440,11614,10,10,94,1400,7,1550,11,1150,7,1750,10,1350,8,1850,13,1950,11,1800,11,1350,8,1200,8
