player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,s_20260309_fame,s_20260309_decks_used,s_20260302_fame,s_20260302_decks_used,s_20260223_fame,s_20260223_decks_used,s_20260216_fame,s_20260216_decks_used,s_20260209_fame,s_20260209_decks_used,s_20260202_fame,s_20260202_decks_used,s_20260126_fame,s_20260126_decks_used,s_20260119_fame,s_20260119_decks_used,s_20260112_fame,s_20260112_decks_used,s_20260105_fame,s_20260105_decks_used
#U9GCU2GQY,Deyesey,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2099VVCQQV,Venox,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#RRUPJJ2JP,Osmanli_Devleti,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CYLYC99CQ,kaido on fire,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2U9Y09JP8,J3RRy,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQ0J8LGLC,Ausbilder Lukas,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VJVV0GJ8U,Mr,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y9G28CGU8,Putin,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,0,80,10093,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#29L2P9YJ,Christian97_,True,member,210,200,10090,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
