player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,s_20260316_fame,s_20260316_decks_used,s_20260309_fame,s_20260309_decks_used,s_20260302_fame,s_20260302_decks_used,s_20260223_fame,s_20260223_decks_used,s_20260216_fame,s_20260216_decks_used,s_20260209_fame,s_20260209_decks_used,s_20260202_fame,s_20260202_decks_used,s_20260126_fame,s_20260126_decks_used,s_20260119_fame,s_20260119_decks_used,s_20260112_fame,s_20260112_decks_used
#8P89UPQ0,mojede,True,member,0,0,10139,2,10,2,0,0,200,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CPY9CULYY,player5676,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#URJ0LUYPV,elazeto,True,member,0,0,7593,1,10,4,0,0,0,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,0,0,10095,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8YJQP09GY,HeavyBobM.amb0,True,member,22,56,12331,1,10,4,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,10,8,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,elder,0,0,11680,8,10,32,100,1,100,1,1200,10,1100,7,0,0,300,3,0,0,300,2,600,4,800,4
#29L2P9YJ,Christian97_,True,member,0,0,10090,1,10,4,350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,elder,0,0,11218,7,10,53,500,4,200,2,1000,8,600,4,2100,14,1400,9,1450,12,0,0,0,0,0,0
#R22R8GYG,bequemo,True,elder,34,40,12063,10,10,71,900,6,1250,7,950,5,1600,7,1200,6,1450,7,1100,5,1150,9,2000,10,1750,9
#PPR2QQC0U,Flauschos,True,elder,18,80,11646,10,10,128,1300,10,2400,15,1800,12,2600,16,2200,14,1900,12,1100,8,2200,13,2200,16,1900,12
#2P0U2RLGY,mauza,True,elder,24,40,10295,10,10,134,1950,12,2500,14,1850,12,1500,12,2500,16,2400,16,1800,12,2000,12,2050,12,2350,16
#YPU0YPCJ8,Amin,True,member,0,0,10204,5,10,34,1150,12,800,8,200,2,350,4,700,8,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,True,member,42,40,11461,7,10,45,1200,8,1300,8,1400,7,1100,8,1300,7,450,3,0,0,500,4,0,0,0,0
#YQVQYUYRV,Fxry,True,elder,0,0,11122,5,10,71,1250,7,2900,16,3200,16,2800,16,3000,16,0,0,0,0,0,0,0,0,0,0
#2L8LLRUYV,MF Tarje,True,elder,44,40,11885,7,10,66,1400,7,1050,6,700,4,2750,14,1500,11,1750,12,1950,12,0,0,0,0,0,0
#8QYYL8LCQ,SirHenry87,True,elder,18,40,10364,10,10,100,1500,11,1000,8,1200,11,1200,8,700,7,1900,16,2100,15,1300,13,900,8,300,3
#YQ82VR9JQ,chris,True,elder,206,120,11860,10,10,159,1950,15,2500,16,2100,16,2400,16,2500,16,3100,16,2850,16,2600,16,2700,16,2600,16
#QULCQGGG,Citykingalex,True,elder,74,80,11382,10,10,96,1550,11,1150,7,1750,10,1350,8,1850,13,1950,11,1800,11,1350,8,1200,8,1500,9
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,10,10,153,1550,9,2500,16,2400,16,2900,16,2700,16,2500,16,2450,16,3250,16,2350,16,2300,16
#CUJ9PJ2UV,AaleDieter,True,coLeader,0,0,10387,10,10,147,1700,12,2350,14,1300,11,2600,15,2250,15,2500,16,2850,16,2550,16,1900,16,2050,16
#Q2GRGLQR,honigmelone,True,elder,49,80,6063,10,10,152,2100,13,2500,16,2000,16,2400,16,2100,16,2600,16,2000,14,1600,13,2400,16,2600,16
#V9GYJQ0J9,Boi,True,member,31,104,8200,2,10,30,1700,16,1500,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2CPRGY8G,Swordfish,True,coLeader,18,40,11294,10,10,155,2450,16,2200,16,1950,12,2700,16,2300,16,2700,16,2200,16,2550,15,2700,16,2600,16
#9CG2CRRJG,Annefred,True,elder,0,0,11705,10,10,134,2200,13,2500,16,1300,8,1400,12,2100,12,2400,14,2400,16,2100,13,2500,16,2000,14
#G02LC9C8,lukasl 5,True,elder,0,24,12030,10,10,120,1800,12,2150,16,1700,12,1750,16,2200,12,1100,7,2050,11,2050,12,2000,12,1650,10
#2U8288CVY,_spc07,True,coLeader,80,80,12000,10,10,149,1800,12,2850,16,3000,16,2650,16,2650,16,2450,12,2750,16,2650,16,2200,13,2900,16
#QVQGCV8Y9,Rainer,True,elder,0,0,11854,10,10,131,1900,14,2450,16,1950,16,2550,16,2150,13,1300,8,1700,12,2150,12,2250,15,1600,9
#ULYJ2CQP,Knitte,True,elder,162,120,12253,10,10,137,2000,12,1900,14,2200,12,1950,11,1850,12,2200,16,2950,16,3050,16,2950,16,2300,12
#P0JYR9YUY,Chico,True,elder,23,56,12046,10,10,117,2000,13,2400,16,1900,12,1900,12,2200,13,1700,12,700,4,2100,14,1600,9,1900,12
#2V800VCQ0,Desteoyer,True,elder,0,80,11199,10,10,151,2000,12,2350,16,2300,15,2450,15,2550,16,2350,16,2500,16,2500,16,2100,13,2800,16
#22Q920RLR,LazyFrog,True,coLeader,78,80,12306,10,10,145,2000,12,2500,15,2200,11,2600,16,2600,15,2750,16,2800,16,2000,12,3200,16,3050,16
#UUPCULU9V,OmniOni,True,elder,186,80,9095,10,10,157,2050,13,2750,16,2650,16,2700,16,2900,16,2500,16,2900,16,2600,16,2750,16,3050,16
#22CQPRR0J,Ian,True,elder,0,0,12226,10,10,146,2100,11,2400,16,1950,11,2900,16,2200,12,2800,16,2900,16,3100,16,2600,16,2750,16
#JRGC9RRQG,seroo,True,elder,0,0,11587,10,10,135,2100,13,2000,12,2600,16,2600,16,2200,16,1900,12,1550,11,2200,16,2000,14,1300,9
