player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,player_total_boat_attacks,s_20260406_fame,s_20260406_decks_used,s_20260406_boat_attacks,s_20260330_fame,s_20260330_decks_used,s_20260330_boat_attacks,s_20260323_fame,s_20260323_decks_used,s_20260323_boat_attacks,s_20260316_fame,s_20260316_decks_used,s_20260316_boat_attacks,s_20260309_fame,s_20260309_decks_used,s_20260309_boat_attacks,s_20260302_fame,s_20260302_decks_used,s_20260302_boat_attacks,s_20260223_fame,s_20260223_decks_used,s_20260223_boat_attacks,s_20260216_fame,s_20260216_decks_used,s_20260216_boat_attacks,s_20260209_fame,s_20260209_decks_used,s_20260209_boat_attacks,s_20260202_fame,s_20260202_decks_used,s_20260202_boat_attacks
#P988CJQ0G,Smarkus,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#29L2P9YJ,Christian97_,True,member,0,0,10030,2,4,8,4,0,0,0,0,0,0,600,4,0,350,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,False,unknown,0,0,0,6,10,41,0,0,0,0,0,0,0,0,0,0,1200,8,0,1300,8,0,1400,7,0,1100,8,0,1300,7,0,450,3,0,0,0,0
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,7,10,105,0,0,0,0,0,0,0,0,0,0,1550,9,0,2500,16,0,2400,16,0,2900,16,0,2700,16,0,2500,16,0,2450,16,0
#CPY9CULYY,player5676,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8YJQP09GY,HeavyBobM.amb0,False,unknown,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,member,0,40,11254,9,10,60,0,0,0,0,100,1,0,900,6,0,500,4,0,200,2,0,1000,8,0,600,4,0,2100,14,0,1400,9,0,1450,12,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#R0LGYVLP,Milchreis,True,elder,0,0,11244,8,10,96,0,0,0,0,0,0,0,550,4,0,2850,16,0,800,4,0,2750,16,0,2150,12,0,2750,16,0,1900,12,0,2850,16,0
#80LL922V8,Aaron⚡⚡,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YPU0YPCJ8,Amin,False,unknown,0,0,0,5,8,34,32,0,0,0,0,0,0,0,0,0,1150,12,12,800,8,8,200,2,0,350,4,4,700,8,8,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y882QLJQJ,NL-eSports,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8P89UPQ0,mojede,False,unknown,0,0,0,3,6,3,0,100,1,0,0,0,0,0,0,0,0,0,0,200,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,0,40,10131,3,4,10,0,200,1,0,600,5,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YJ0LUU0JJ,RedStyle,True,elder,0,0,10537,10,10,137,0,450,3,0,2250,14,0,2900,16,0,2400,16,0,2900,16,0,2400,16,0,3200,16,0,1050,8,0,2600,16,0,2500,16,0
#9CG2CRRJG,Annefred,True,elder,16,40,11783,10,10,124,0,1000,8,0,1900,13,0,1500,12,0,2200,13,0,2500,16,0,1300,8,0,1400,12,0,2100,12,0,2400,14,0,2400,16,0
#2L8LLRUYV,MF Tarje,True,elder,60,96,12290,10,10,88,2,1200,8,0,1700,10,0,550,4,0,1400,7,0,1050,6,0,700,4,0,2750,14,2,1500,11,0,1750,12,0,1950,12,0
#22CQPRR0J,Ian,True,elder,24,0,12735,10,10,130,0,1400,8,0,1800,12,0,2300,12,0,2100,11,0,2400,16,0,1950,11,0,2900,16,0,2200,12,0,2800,16,0,2900,16,0
#2CPRGY8G,Swordfish,True,coLeader,190,240,12079,10,10,144,0,1500,8,0,2900,16,0,2250,12,0,2450,16,0,2200,16,0,1950,12,0,2700,16,0,2300,16,0,2700,16,0,2200,16,0
#V9GYJQ0J9,Boi,True,member,70,272,8313,5,5,69,58,1500,11,0,1800,16,16,1300,12,12,1700,16,16,1500,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2V800VCQ0,Desteoyer,True,elder,20,280,11407,10,10,148,0,1750,14,0,1700,12,0,3000,16,0,2000,12,0,2350,16,0,2300,15,0,2450,15,0,2550,16,0,2350,16,0,2500,16,0
#QVQGCV8Y9,Rainer,True,elder,0,0,12031,10,10,135,0,1600,12,0,2750,16,0,2300,12,0,1900,14,0,2450,16,0,1950,16,0,2550,16,0,2150,13,0,1300,8,0,1700,12,0
#2VJR80RL,Denis,True,elder,8,40,11350,10,10,115,0,1700,12,0,3150,16,0,2400,12,0,2750,16,0,1700,8,0,2250,12,0,1250,7,0,2250,12,0,1750,12,0,1350,8,0
#YQVQYUYRV,Fxry,True,elder,82,80,11122,8,8,94,0,2100,10,0,1450,9,0,500,4,0,1250,7,0,2900,16,0,3200,16,0,2800,16,0,3000,16,0,0,0,0,0,0,0
#ULYJ2CQP,Knitte,True,elder,490,360,12372,10,10,136,0,2350,16,0,2600,16,0,1750,11,0,2000,12,0,1900,14,0,2200,12,0,1950,11,0,1850,12,0,2200,16,0,2950,16,0
#2UQUPYQCJ,andiquariat,True,elder,0,0,11064,10,10,156,0,1800,12,0,2750,16,0,2100,16,0,2300,16,0,2250,16,0,2550,16,0,2600,16,0,2500,16,0,2700,16,0,2700,16,0
#YQ82VR9JQ,chris,True,elder,649,400,12030,10,10,159,0,2050,16,0,3050,16,0,2250,16,0,1950,15,0,2500,16,0,2100,16,0,2400,16,0,2500,16,0,3100,16,0,2850,16,0
#Q2GRGLQR,honigmelone,True,elder,66,240,6141,10,10,155,0,2400,16,0,2500,16,0,2500,16,0,2100,13,0,2500,16,0,2000,16,0,2400,16,0,2100,16,0,2600,16,0,2000,14,0
#2P0U2RLGY,mauza,True,elder,199,160,10354,10,10,132,0,1900,10,0,2150,12,0,2900,16,0,1950,12,0,2500,14,0,1850,12,0,1500,12,0,2500,16,0,2400,16,0,1800,12,0
#2U8288CVY,_spc07,True,coLeader,164,200,12000,10,10,152,0,2300,16,0,2200,16,0,2650,16,0,1800,12,0,2850,16,0,3000,16,0,2650,16,0,2650,16,0,2450,12,0,2750,16,0
#8QYYL8LCQ,SirHenry87,True,elder,259,160,10708,10,10,116,0,2400,16,0,2400,16,0,1100,8,0,1500,11,0,1000,8,0,1200,11,0,1200,8,0,700,7,0,1900,16,0,2100,15,0
#LVUGLUCP9,Nati,True,elder,44,40,9849,10,10,129,0,1950,12,0,900,5,0,1900,12,0,2350,16,0,2450,15,0,1900,12,0,1800,13,0,2550,16,0,2400,16,0,2000,12,0
#2QRVR9L8,Bensie,True,coLeader,994,440,12127,10,10,156,0,2000,16,0,2500,16,0,2150,16,0,2700,16,0,2700,16,0,1850,12,0,2250,16,0,2600,16,0,3000,16,0,3000,16,0
#LLQQJCLC,bes,True,member,160,200,11534,3,3,35,0,2000,12,0,2300,15,0,900,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,member,72,80,12070,8,10,39,0,2000,12,0,100,1,0,500,4,0,100,1,0,100,1,0,1200,10,0,1100,7,0,0,0,0,300,3,0,0,0,0
#JRGC9RRQG,seroo,True,elder,0,0,11848,10,10,133,0,2050,12,0,2300,15,0,1500,10,0,2100,13,0,2000,12,0,2600,16,0,2600,16,0,2200,16,0,1900,12,0,1550,11,0
#Q8L0RJ8Y8,Erastus,True,elder,698,320,12500,10,10,160,0,2800,16,0,3200,16,0,2800,16,0,3200,16,0,2750,16,0,2700,16,0,3000,16,0,2700,16,0,2850,16,0,2600,16,0
#P2GUCG2Y,king rado,True,elder,0,0,11740,9,10,101,0,2600,15,0,1100,6,0,0,0,0,2200,13,0,2000,12,0,500,4,0,2700,16,0,2250,16,0,2400,13,0,1000,6,0
#2U09UULRR,Dolphin,True,coLeader,68,280,10832,10,10,160,0,2400,16,0,2500,16,0,2300,16,0,2400,16,0,2100,16,0,2200,16,0,2300,16,0,2500,16,0,2400,16,0,2200,16,0
#J9RQPGLVP,Ted,True,member,639,360,8574,3,3,36,0,2200,16,0,2500,16,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#G02LC9C8,lukasl 5,True,elder,26,80,12500,10,10,123,0,2250,16,0,1450,11,0,1350,10,0,1800,12,0,2150,16,0,1700,12,0,1750,16,0,2200,12,0,1100,7,0,2050,11,0
#2PUQYJC02,Wario,True,elder,164,160,11148,10,10,159,0,2300,16,0,2400,16,0,2400,16,0,2200,16,0,2700,15,0,2600,16,0,2600,16,0,2500,16,0,2300,16,0,2500,16,0
#202VP2QL9P,eco,True,elder,352,320,10321,10,10,140,0,2300,16,0,2700,16,0,1700,12,0,2500,16,0,900,8,0,1700,12,0,2100,16,0,2200,16,0,1500,12,0,2500,16,0
#L8PV090J,rote sonne,True,elder,8,120,12587,10,10,159,0,2300,16,0,2300,15,0,2200,16,0,2800,16,0,3150,16,0,2600,16,0,2250,16,0,2200,16,0,3000,16,0,2450,16,0
#RLJPJL8C2,kl.kranker Affe,True,elder,8,0,10176,10,10,151,0,2350,15,0,2100,14,0,2550,14,0,2550,15,0,2800,16,0,3150,16,0,1950,14,0,2550,16,0,2950,16,0,2700,15,0
#8P0J8P0L,OneAndOnly,True,leader,342,280,10511,10,10,160,0,2500,16,0,2650,16,0,2300,16,0,2700,16,0,2800,16,0,2050,16,0,2450,16,0,2950,16,0,3100,16,0,2600,16,0
#22Q920RLR,LazyFrog,True,coLeader,483,320,12743,10,10,149,0,2500,16,0,3050,16,0,2950,16,0,2000,12,0,2500,15,0,2200,11,0,2600,16,0,2600,15,0,2750,16,0,2800,16,0
#P0JYR9YUY,Chico,True,elder,32,240,12042,10,10,123,0,2600,16,0,1750,12,0,1700,13,0,2000,13,0,2400,16,0,1900,12,0,1900,12,0,2200,13,0,1700,12,0,700,4,0
#UJ2P9UYUV,hi2oka,True,elder,86,120,12290,10,10,136,0,2600,12,0,2300,12,0,2700,16,0,2800,16,0,3000,16,0,2300,12,0,2400,12,0,2950,16,0,3200,16,0,1500,8,0
#2CJYG9UG,Jackhammer,True,elder,92,140,11166,10,10,152,0,2700,16,0,2150,12,0,2200,16,0,2650,16,0,2950,16,0,2650,16,0,2550,16,0,2450,16,0,1900,12,0,3000,16,0
