player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,player_total_boat_attacks,s_20260330_fame,s_20260330_decks_used,s_20260330_boat_attacks,s_20260323_fame,s_20260323_decks_used,s_20260323_boat_attacks,s_20260316_fame,s_20260316_decks_used,s_20260316_boat_attacks,s_20260309_fame,s_20260309_decks_used,s_20260309_boat_attacks,s_20260302_fame,s_20260302_decks_used,s_20260302_boat_attacks,s_20260223_fame,s_20260223_decks_used,s_20260223_boat_attacks,s_20260216_fame,s_20260216_decks_used,s_20260216_boat_attacks,s_20260209_fame,s_20260209_decks_used,s_20260209_boat_attacks,s_20260202_fame,s_20260202_decks_used,s_20260202_boat_attacks,s_20260126_fame,s_20260126_decks_used,s_20260126_boat_attacks
#J9RQPGLVP,Ted,True,member,260,200,8513,2,2,20,0,2500,16,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UUPCULU9V,OmniOni,True,elder,410,240,10626,10,10,157,0,2550,16,0,3300,16,0,2050,13,0,2750,16,0,2650,16,0,2700,16,0,2900,16,0,2500,16,0,2900,16,0,2600,16,0
#8P0J8P0L,OneAndOnly,True,leader,418,200,10511,10,10,160,0,2650,16,0,2300,16,0,2700,16,0,2800,16,0,2050,16,0,2450,16,0,2950,16,0,3100,16,0,2600,16,0,3050,16,0
#QULCQGGG,Citykingalex,True,elder,254,160,11884,10,10,102,4,2700,16,0,1400,7,0,1550,11,0,1150,7,0,1750,10,0,1350,8,0,1850,13,0,1950,11,0,1800,11,0,1350,8,4
#202VP2QL9P,eco,True,elder,242,240,9849,10,10,140,0,2700,16,0,1700,12,0,2500,16,0,900,8,0,1700,12,0,2100,16,0,2200,16,0,1500,12,0,2500,16,0,2400,16,0
#QVQGCV8Y9,Rainer,True,elder,0,0,11773,10,10,135,0,2750,16,0,2300,12,0,1900,14,0,2450,16,0,1950,16,0,2550,16,0,2150,13,0,1300,8,0,1700,12,0,2150,12,0
#JUUR8UGL8,Theezy,True,elder,170,280,10750,10,10,159,0,2850,16,0,2850,16,0,2500,16,0,2150,16,0,3000,16,0,2750,16,0,2500,16,0,2850,16,0,2400,16,0,2050,15,0
#2CPRGY8G,Swordfish,True,coLeader,224,240,11798,10,10,151,0,2900,16,0,2250,12,0,2450,16,0,2200,16,0,1950,12,0,2700,16,0,2300,16,0,2700,16,0,2200,16,0,2550,15,0
#20QGJVPG8Q,maghrebi,True,elder,228,280,10030,4,4,64,0,2900,16,0,2300,16,0,2200,16,0,2300,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YQ82VR9JQ,chris,True,elder,242,200,12091,10,10,159,0,3050,16,0,2250,16,0,1950,15,0,2500,16,0,2100,16,0,2400,16,0,2500,16,0,3100,16,0,2850,16,0,2600,16,0
